Komponist,Werkname,Satz_Nr,Kommentar,tapping_files,tapping_folder,recording_folder,Dirigent,Orchester,Aufnahmejahr,KWV,Product ID,auf GitHub?,Quelle,Kommentar,Takt von,Takt bis,,"Granularitäten Gl,j der Abschnitte Sl,j"
Anton Bruckner,Symphonie No. 9,3,,"Bruckner_9-3_Bernstein_WPh_1990_A1_converted.txt,Bruckner_9-3_Bernstein_WPh_1990_A4.txt
",tappings/Bruckner_sym_9_3,BRUCKNER_Sym9-3_-_BERNSTEIN_WPh_1990_LIVE_DG_[435 350-2]/,Leonard Bernstein,Wiener Philharmoniker,1990,,,x,LL,DG,150,243,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Karajan_BPO_1957_Bee_9-1_file_2092_A1_converted.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_BPO_1957_kipid_2092/,Herbert von Karajan,Berliner Philharmoniker,1957,841,2092,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,"Karajan_BPO_1962_Bee_9-1_file_356_A1.txt,Karajan_BPO_1962_Bee_9-1_file_356_A2.csv,Karajan_BPO_1962_Bee_9-1_file_356_A3.csv",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_BPO_1962_kipid_356/,Herbert von Karajan,Berliner Philharmoniker,1962,848,356,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Karajan_BPO_1976_Bee_9-1_file_352_A1.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_BPO_1977_kipid_352/,Herbert von Karajan,Berliner Philharmoniker,1977,847,352,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,"Karajan_BPO_1983_Bee_9-1_file_357_A1.txt,Karajan_BPO_1983_Bee_9-1_file_357_A3.csv,Karajan_BPO_1983_Bee_9-1_file_357_A4.txt",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_BPO_1983_kipid_357/,Herbert von Karajan,Berliner Philharmoniker,1983,844,357,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Fried_BSOO_1929_Bee_9-1_A1.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Fried_BSOO_1929/,Oskar Fried,BSOO,1929,,,x,LL,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Georg Solti,Chicago Symphony Orchestra,1990,,,x,TW (CD),,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Willem Mengelberg,Concertgebouw Orkest,1926,,,x,TW (CD),,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Hans Rosbaud,Kölner Rundfunk-Sinfonieorchester ,1951,,,x,TW (CD),,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Klaus Tennstedt,London Philharmonic Orchestra,1978,,,x,TW (CD),,,,,Viertelnoten
